-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.027,  0.148
-183.800, 80.198, 0.025,  0.181
-183.800, 80.197, 0.027,  0.214
-183.800, 80.195, 0.043,  0.247
-183.799, 80.191, 0.131,  0.280
-183.797, 80.183, 0.252,  0.313
-183.796, 80.171, 0.345,  0.346
-183.793, 80.157, 0.433,  0.379
-183.791, 80.140, 0.505,  0.412
-183.788, 80.121, 0.582,  0.445
-183.785, 80.100, 0.638,  0.478
-183.782, 80.077, 0.699,  0.511
-183.779, 80.053, 0.756,  0.544
-183.775, 80.025, 0.848,  0.577
-183.771, 79.996, 0.885,  0.610
-183.767, 79.967, 0.882,  0.643
-183.764, 79.937, 0.908,  0.676
-183.760, 79.906, 0.933,  0.709
-183.756, 79.875, 0.941,  0.742
-183.752, 79.844, 0.948,  0.775
-183.748, 79.813, 0.958,  0.808
-183.744, 79.781, 0.971,  0.841
-183.739, 79.748, 0.983,  0.874
-183.735, 79.716, 0.995,  0.907
-183.731, 79.683, 1.007,  0.940
-183.727, 79.649, 1.019,  0.973
-183.722, 79.615, 1.030,  1.006
-183.718, 79.581, 1.040,  1.039
-183.714, 79.546, 1.049,  1.072
-183.709, 79.512, 1.058,  1.105
-183.705, 79.476, 1.066,  1.138
-183.701, 79.441, 1.073,  1.171
-183.696, 79.405, 1.079,  1.204
-183.692, 79.370, 1.085,  1.237
-183.687, 79.334, 1.090,  1.270
-183.683, 79.298, 1.095,  1.303
-183.678, 79.261, 1.099,  1.336
-183.674, 79.225, 1.103,  1.369
-183.669, 79.188, 1.106,  1.402
-183.665, 79.152, 1.110,  1.435
-183.660, 79.115, 1.113,  1.468
-183.656, 79.078, 1.116,  1.501
-183.651, 79.041, 1.118,  1.534
-183.647, 79.004, 1.122,  1.567
-183.643, 78.967, 1.124,  1.600
-183.639, 78.930, 1.127,  1.633
-183.634, 78.892, 1.130,  1.666
-183.630, 78.855, 1.132,  1.699
-183.626, 78.817, 1.135,  1.732
