309.031, 129.489, 4.261,  4.379 False
308.888, 129.489, 4.292,  4.412 False
308.745, 129.489, 4.324,  4.445 False
308.600, 129.489, 4.355,  4.478 False
308.454, 129.489, 4.387,  4.511 False
308.307, 129.489, 4.418,  4.544 False
308.159, 129.489, 4.450,  4.577 False
308.009, 129.489, 4.480,  4.610 False
307.859, 129.489, 4.513,  4.643 False
307.708, 129.489, 4.543,  4.676 False
307.556, 129.489, 4.575,  4.709 False
307.403, 129.489, 4.605,  4.742 False
307.248, 129.489, 4.637,  4.775 False
307.093, 129.489, 4.667,  4.808 False
306.937, 129.489, 4.699,  4.841 False
306.779, 129.489, 4.730,  4.874 False
306.621, 129.489, 4.761,  4.907 False
306.461, 129.489, 4.791,  4.940 False
306.301, 129.489, 4.823,  4.973 False
306.139, 129.489, 4.853,  5.006 False
305.977, 129.489, 4.885,  5.039 False
305.813, 129.489, 4.915,  5.072 False
305.648, 129.489, 4.947,  5.105 False
305.483, 129.489, 4.977,  5.138 False
305.316, 129.489, 5.009,  5.171 False
305.148, 129.489, 5.038,  5.204 False
304.980, 129.489, 5.071,  5.237 False
304.810, 129.489, 5.100,  5.270 False
304.639, 129.489, 5.133,  5.303 False
304.467, 129.489, 5.163,  5.336 False
304.294, 129.490, 5.195,  5.369 False
304.121, 129.490, 5.220,  5.402 False
303.946, 129.490, 5.242,  5.435 False
303.771, 129.491, 5.245,  5.468 False
303.597, 129.491, 5.243,  5.501 False
303.422, 129.493, 5.245,  5.534 False
303.247, 129.496, 5.258,  5.567 False
303.071, 129.499, 5.278,  5.600 False
302.895, 129.502, 5.308,  5.633 False
302.717, 129.505, 5.344,  5.666 False
302.538, 129.508, 5.386,  5.699 False
302.357, 129.511, 5.429,  5.732 False
302.174, 129.514, 5.475,  5.765 False
301.991, 129.517, 5.518,  5.798 False
301.806, 129.521, 5.561,  5.831 False
301.619, 129.525, 5.602,  5.864 False
301.431, 129.530, 5.643,  5.897 False
301.242, 129.534, 5.679,  5.930 False
301.052, 129.539, 5.717,  5.963 False
300.860, 129.546, 5.750,  5.996 False
300.668, 129.553, 5.787,  6.029 False
300.474, 129.559, 5.821,  6.062 False
300.279, 129.566, 5.857,  6.095 False
300.083, 129.572, 5.890,  6.128 False
299.886, 129.579, 5.925,  6.161 False
299.688, 129.586, 5.958,  6.194 False
299.489, 129.593, 5.992,  6.227 False
299.288, 129.600, 6.024,  6.260 False
299.087, 129.607, 6.058,  6.293 False
298.884, 129.615, 6.089,  6.326 False
298.680, 129.622, 6.123,  6.359 False
298.475, 129.630, 6.155,  6.392 False
298.270, 129.638, 6.189,  6.425 False
298.063, 129.646, 6.220,  6.458 False
